RowNum,Total Population,% Urban,Gender Ratio,% Han Population,% Age 15-64,% Bachelors+,Inlinks per capita (Chinese Wikipedia),Outlinks per capita (Chinese Wikipedia),Non-Spatial Inlinks per capita (Chinese Wikipedia),Non-spatial Outlinks per capita (Chinese Wikipedia),Page Views per capita (Chinese Wikipedia),Page Length per capita (Chinese Wikipedia),Page Count per capita (Chinese Wikipedia),Page Views per Page (Chinese Wikipedia)
247,0.992387489,0.998391416,-1.064497189,-0.410674301,0.711051325,2.132957632,1.314193757,1.06584466,1.441068445,1.370833879,1.477502789,1.266933731,1.07318212,0.888348921
248,1.183552195,-0.259778966,-0.381045138,-0.794010559,-0.162849444,-0.035683554,1.145119417,0.732158347,1.310106566,0.906684398,0.735412421,0.740393522,0.696922612,0.392983698
249,-0.864636385,0.239699372,-0.99873548,-0.917733958,-0.006634022,0.298869549,0.741547081,-0.069781914,0.947536643,-0.00517056,0.001117241,-0.009668899,0.205478384,1.308109166
250,0.809940599,-0.616809866,-0.580678898,-0.66819594,0.05222976,-0.198632524,1.102987855,0.465717588,1.272221227,0.501978219,0.302430091,0.283413238,0.700807971,0.075173896
251,1.426518906,-0.137949723,-0.505522659,-0.869241909,-0.468488314,-0.364226329,0.67251636,-0.007915528,0.878341047,0.056313284,-0.085656131,-0.116251144,0.202297533,-0.414089259
252,1.268047518,1.07688278,-0.928276506,-0.696623131,0.502764095,1.660082656,1.115040831,0.604669972,1.274532399,0.659576384,1.104196579,1.049152168,0.815582675,0.524286153
253,-0.003475325,-0.019304619,-0.775615394,-1.026542473,-0.147001503,0.320419384,0.890935108,0.14920002,1.093754091,0.154024164,0.212282781,0.09193844,0.343800023,0.66635639
254,0.751225456,0.171985717,-1.386259839,-0.559129696,0.167693333,0.624680697,0.927714751,0.429376326,1.089533471,0.570790283,0.521181532,0.342012175,0.490558144,0.53663258
255,1.314766618,-0.026528241,-0.698110522,-0.907754367,0.1495814,0.323539282,0.80795172,-0.106810155,1.033947776,0.01181038,0.165644157,0.119724389,0.067761859,-0.00822466
256,-0.001973393,0.63236548,-0.935322403,-0.700261745,0.853682797,0.831309088,0.94552872,0.525304867,1.073696373,0.472189825,0.807025866,0.572095722,0.587513099,0.965554995
257,1.017458097,0.460126106,-0.775615394,-0.927862504,0.790291032,0.904680798,0.842471972,0.225033037,1.022310882,0.28578729,0.434202384,0.291254825,0.44428936,0.044701893
258,0.317125118,-0.005614,0.788573837,-0.907754367,0.036381819,-0.195209258,0.82191739,0.349716714,0.98278698,0.448937033,0.809334436,0.476968884,0.592982234,0.883153766
259,0.535203377,0.919210497,-1.149047959,-0.832798255,0.299004848,0.937828452,1.000545758,0.543617638,1.154730696,0.59055082,0.508435835,0.677876769,0.711180115,0.478491592
260,2.356077902,2.451253274,0.154443068,-0.58942937,1.625703943,2.503691538,2.254660251,2.603872664,2.205182748,2.881719333,3.304911167,3.186624933,2.44231305,1.571280282
261,0.191845876,-0.326164114,-0.042842061,-0.761300615,0.344284681,0.061710783,0.460618568,0.269806674,0.525944618,0.135897385,-0.159789179,0.083540865,0.364432967,-0.452176298
